% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]",TEXT
[5.1700 - 7.6605],Ses05F_impro02_F000,xxx,"[2.0000, 2.0000, 2.0000]","baby, I need you to sit down."
[12.3000 - 14.4800],Ses05F_impro02_F001,sad,"[2.0000, 1.5000, 1.5000]",um.
[19.0000 - 24.6600],Ses05F_impro02_F002,sad,"[2.0000, 2.5000, 1.5000]",I'm sorry.  It is just a lot ahh to explain. ahh I got a call--
[24.7000 - 28.4600],Ses05F_impro02_F003,xxx,"[1.5000, 2.5000, 2.0000]","Yeah, um everything's fine so far. um"
[28.8000 - 31.1014],Ses05F_impro02_F004,sad,"[1.5000, 2.0000, 1.5000]","I got a call today,"
[33.6400 - 37.1300],Ses05F_impro02_F005,sad,"[1.5000, 2.0000, 2.0000]",I'm going to need to go overseas for a while.
[40.9200 - 42.2900],Ses05F_impro02_F006,fea,"[1.5000, 1.5000, 2.5000]",Iraq.
[44.4900 - 47.6500],Ses05F_impro02_F007,xxx,"[1.5000, 2.5000, 1.5000]","I'm sorry.  I thought so. ""sigh"""
[51.7400 - 54.4200],Ses05F_impro02_F008,sad,"[1.5000, 3.5000, 1.5000]","I do not know ""sigh""."
[61.5700 - 65.7300],Ses05F_impro02_F009,sad,"[1.0000, 3.0000, 1.5000]",I know.  I know.
[68.8300 - 79.7900],Ses05F_impro02_F010,sad,"[2.0000, 2.5000, 2.0000]","I know.  Well, we'll have to figure all that out.  I mean, I think the Army's going to provide childcare and help us out with that. um."
[83.0500 - 85.3000],Ses05F_impro02_F011,sad,"[2.0000, 2.5000, 1.5000]",Iraq.
[88.3300 - 93.3000],Ses05F_impro02_F012,sad,"[1.5000, 2.5000, 2.0000]",I think infantry.  I'm not sure.
[97.7400 - 103.8500],Ses05F_impro02_F013,fru,"[2.0000, 2.5000, 1.5000]","It is going to be at least six months, probably a year. I tried."
[106.6800 - 109.9800],Ses05F_impro02_F014,fru,"[1.5000, 3.0000, 2.5000]","I know, I know.  It is really, really messed up."
